created_at,entity_type,entity_id,field_name,old_value,new_value,actor,source
2026-03-10T13:59:22.361733+00:00,transaction,dfe8570e-83f6-4e23-98e0-4e5756f06b7b,recipient,"""""","""Unknown Receiver""",demo_user,transaction_create
2026-03-10T13:59:22.361059+00:00,transaction,dfe8570e-83f6-4e23-98e0-4e5756f06b7b,amount,"""""","""3650.00""",demo_user,transaction_create
2026-03-10T13:59:22.360402+00:00,transaction,dfe8570e-83f6-4e23-98e0-4e5756f06b7b,status,"""""","""HOLD_FOR_REVIEW""",demo_user,transaction_create
2026-03-10T13:59:22.298886+00:00,transaction,fe3737e3-133a-49a2-b552-31030c9ec7de,recipient,"""""","""Family Member""",demo_user,transaction_create
2026-03-10T13:59:22.297931+00:00,transaction,fe3737e3-133a-49a2-b552-31030c9ec7de,amount,"""""","""1100.00""",demo_user,transaction_create
2026-03-10T13:59:22.297285+00:00,transaction,fe3737e3-133a-49a2-b552-31030c9ec7de,status,"""""","""PENDING""",demo_user,transaction_create
2026-03-10T13:59:22.235079+00:00,transaction,ad9bb443-da47-42c3-861d-0504bd40666f,recipient,"""""","""Local Merchant""",demo_user,transaction_create
2026-03-10T13:59:22.234250+00:00,transaction,ad9bb443-da47-42c3-861d-0504bd40666f,amount,"""""","""450.00""",demo_user,transaction_create
2026-03-10T13:59:22.233424+00:00,transaction,ad9bb443-da47-42c3-861d-0504bd40666f,status,"""""","""PENDING""",demo_user,transaction_create
2026-03-10T13:59:22.153532+00:00,user,demo_user,pin_hash,"""<redacted>""","""<redacted>""",demo_user,user_replace
2026-03-10T13:59:22.152705+00:00,user,demo_user,phone_hash,"""4b6b245fada6673c7625fae4deec5df737ad2eee0be28550f86fbc976a147357""","""4b6b245fada6673c7625fae4deec5df737ad2eee0be28550f86fbc976a147357""",demo_user,user_replace
2026-03-10T13:58:46.295417+00:00,user,4,user_created,"""""","""created""",4,user_create
